Protein1,Protein2,Score,Experimental System Type
NAA50,NAA15,999,physical
NAA50,NAA10,999,physical
MAPK8IP1,MAPK8,999,physical
GHSR,GHRL,999,physical
TNFSF10,TNFRSF10A,999,physical
TNFSF10,TNFRSF10B,999,physical
ACVR2A,ACVR1,999,physical
FLT3,FLT3LG,999,physical
BBS9,BBS2,999,physical
BBS9,BBS1,999,physical
BBS9,BBS4,999,physical
BBS9,BBS7,999,physical
BBS9,BBS5,999,physical
RAMP3,CALCRL,999,physical
IFT81,IFT74,999,physical
CD97,CD55,999,physical
ZC3H13,WTAP,999,physical
ZC3H13,VIRMA,999,physical
LRP1,APOE,999,physical
TTC21B,IFT122,999,physical
TTC21B,WDR19,999,physical
TTC21B,WDR35,999,physical
TTC21B,IFT43,999,physical
TTC21B,IFT140,999,physical
SNRPA,SNRPC,999,physical
SNRPA,SNRNP70,999,physical
HAUS3,HAUS6,999,physical
ACTR5,RUVBL2,999,physical
ACTR5,RUVBL1,999,physical
SNRPC,SNRPD3,999,physical
SNRPC,SNRNP70,999,physical
SNRPC,SNRPA,999,physical
H4C9,CENPA,999,physical
H4C9,HIST3H3,999,physical
H4C9,HIST2H2AA4,999,physical
H4C9,H3-3B,999,physical
H4C9,H3F3C,999,physical
H4C9,H3C8,999,physical
H4C9,HIST2H3D,999,physical
H4C9,HIST2H2AC,999,physical
H4C9,HIST2H2BE,999,physical
SSR1,SSR2,999,physical
EREG,EGFR,999,physical
EMC3,EMC6,999,physical
EMC3,EMC2,999,physical
EMC3,EMC4,999,physical
EMC3,EMC1,999,physical
BBS2,BBS4,999,physical
BBS2,BBS9,999,physical
BBS2,BBS1,999,physical
BBS2,BBS5,999,physical
BBS2,BBS7,999,physical
NUP85,SEC13,999,physical
NUP85,SEH1L,999,physical
NUP85,NUP107,999,physical
NUP85,NUP133,999,physical
NUP85,NUP43,999,physical
NUP85,NUP98,999,physical
NUP85,NUP37,999,physical
NUP85,NUP160,999,physical
INSIG2,SCAP,999,physical
CLPP,CLPX,999,physical
TNFSF9,TNFRSF9,999,physical
THOC2,THOC7,999,physical
THOC2,THOC6,999,physical
THOC2,DDX39B,999,physical
THOC2,THOC3,999,physical
THOC2,THOC1,999,physical
THOC2,THOC5,999,physical
C3,CFP,999,physical
C3,CR2,999,physical
C3,CD46,999,physical
C3,CFH,999,physical
C3,CR1,999,physical
C3,CFB,999,physical
FOSB,JUN,999,physical
FOSB,JUNB,999,physical
FOSB,JUND,999,physical
VASP,PFN1,999,physical
SYMPK,CPSF2,999,physical
SYMPK,CPSF3,999,physical
SNRPB2,SNRPA1,999,physical
FNTB,FNTA,999,physical
UBA2,SAE1,999,physical
CFP,C3,999,physical
ATG14,NRBF2,999,physical
ATG14,BECN1,999,physical
CANX,CALR,999,physical
PYCARD,NLRP3,999,physical
PYCARD,AIM2,999,physical
PYCARD,CASP1,999,physical
TRAF2,TRADD,999,physical
TRAF2,ERN1,999,physical
TRAF2,BIRC2,999,physical
TRAF2,BIRC3,999,physical
TRAF2,RIPK1,999,physical
YEATS4,DMAP1,999,physical
EIF3K,EIF3F,999,physical
EIF3K,EIF3E,999,physical
EIF3K,EIF3L,999,physical
GNGT1,GNB1,999,physical
TUBGCP6,TUBGCP5,999,physical
TUBGCP6,TUBGCP3,999,physical
TUBGCP6,TUBGCP4,999,physical
LSM8,LSM7,999,physical
LSM8,LSM3,999,physical
LSM8,LSM6,999,physical
LSM8,LSM2,999,physical
LSM8,LSM4,999,physical
LRRC4,NTNG2,999,physical
SMO,PTCH1,999,physical
SNAP23,VAMP7,999,physical
SNAP23,VAMP8,999,physical
SNAP23,VAMP2,999,physical
SNAP23,VAMP3,999,physical
SNAP23,STX4,999,physical
COPB1,COPA,999,physical
COPB1,ARCN1,999,physical
COPB1,COPB2,999,physical
COPB1,COPZ1,999,physical
COPB1,COPE,999,physical
QTRT1,QTRT2,999,physical
NEDD8,CUL1,999,physical
NEDD8,UBA3,999,physical
DAD1,STT3B,999,physical
DAD1,STT3A,999,physical
DAD1,DDOST,999,physical
DAD1,RPN2,999,physical
DAD1,RPN1,999,physical
DAD1,OST4,999,physical
LMAN1,MCFD2,999,physical
CNGB1,CNGA1,999,physical
SLX1B,SLX4,999,physical
NCAPG,NCAPD2,999,physical
NCAPG,NCAPH,999,physical
NCAPG,SMC4,999,physical
HBA2,HBB,999,physical
RRM2B,RRM1,999,physical
MED17,MED6,999,physical
MED17,MED14,999,physical
MED17,MED8,999,physical
MED17,MED11,999,physical
MED17,MED21,999,physical
MED17,MED22,999,physical
MED17,MED18,999,physical
MED17,MED20,999,physical
TSG101,VPS28,999,physical
TSG101,VPS37A,999,physical
TSG101,MVB12A,999,physical
TSG101,HGS,999,physical
NDUFA2,NDUFV1,999,physical
NDUFA2,NDUFA5,999,physical
NDUFA2,NDUFS6,999,physical
NDUFA2,NDUFA6,999,physical
NDUFA2,NDUFA7,999,physical
NDUFA2,NDUFA10,999,physical
NDUFA2,NDUFB7,999,physical
NDUFA2,NDUFV2,999,physical
NDUFA2,NDUFS1,999,physical
NDUFA2,NDUFS7,999,physical
NDUFA2,NDUFB3,999,physical
KRT5,KRT14,999,physical
DPF2,ARID1A,999,physical
NECTIN2,TIGIT,999,physical
APOE,LRP1,999,physical
LSM7,LSM4,999,physical
LSM7,LSM5,999,physical
LSM7,LSM1,999,physical
LSM7,LSM2,999,physical
LSM7,LSM6,999,physical
LSM7,LSM3,999,physical
LSM7,LSM8,999,physical
MLLT1,ELL2,999,physical
MLLT1,MLLT3,999,physical
MLLT1,AFF1,999,physical
MLLT1,AFF4,999,physical
MLLT1,ELL,999,physical
NDUFA10,NDUFA5,999,physical
NDUFA10,NDUFS2,999,physical
NDUFA10,NDUFA2,999,physical
NDUFA10,NDUFA9,999,physical
NDUFA10,NDUFB11,999,physical
NDUFA10,NDUFA6,999,physical
EPO,EPOR,999,physical
JUND,JUNB,999,physical
JUND,FOSL2,999,physical
JUND,FOS,999,physical
JUND,FOSL1,999,physical
JUND,FOSB,999,physical
JUND,JUN,999,physical
TAF4,TAF9,999,physical
TAF4,TAF12,999,physical
TAF4,TAF6,999,physical
TAF4,TBP,999,physical
TAF4,TAF10,999,physical
TAF4,TAF5,999,physical
TAF4,TAF1,999,physical
UBE2M,DCUN1D1,999,physical
UBE2M,UBA3,999,physical
EIF2S3,EIF2S2,999,physical
EIF2S3,EIF2S1,999,physical
EIF3G,EIF3C,999,physical
EIF3G,EIF3I,999,physical
EIF3G,EIF3B,999,physical
ATP6V1E1,ATP6V1G1,999,physical
ATP6V1E1,ATP6V1F,999,physical
ATP6V1E1,ATP6V1A,999,physical
ATP6V1E1,ATP6V1B2,999,physical
GINS2,GINS1,999,physical
GINS2,GINS4,999,physical
GINS2,GINS3,999,physical
RBSN,RAB4A,999,physical
VPS25,VPS36,999,physical
VPS25,SNF8,999,physical
VPS25,CHMP6,999,physical
RAMP2,CALCRL,999,physical
EXOC4,EXOC8,999,physical
