gene1,gene2
ALDH3B1,OR51F1
ALDH3B1,OR56A5
ALDH3B1,OTOGL
ALDH3B1,OVCH1
ALDH3B1,P3R3URF
ALDH3B1,PADI6
ALDH3B1,PAPOLB
ALDH3B1,PARG
ALDH3B1,PCNX4
ALDH3B1,PECAM1
ALDH3B1,PHACTR1
ALDH3B1,PIEZO2
ALDH3B1,PKD1L3
ALDH3B1,PLCXD1
ALDH3B1,PRR36
ALDH3B1,PRSS41
ALDH3B1,PTPRQ
ALDH3B1,PYDC5
ALDH3B1,RHBG
ALDH3B1,RIOX1
ALDH3B1,SELENOF
ALDH3B1,SEMA3B
ALDH3B1,SHANK2
ALDH3B1,SLC25A6
ALDH3B1,SMAD5
ALDH3B1,SMIM10L2B
ALDH3B1,SMIM26
ALDH3B1,SMIM33
ALDH3B1,SPATA1
ALDH3B1,SPDYE3
ALDH3B1,SPON1
ALDH3B1,SVOP
ALDH3B1,TDRD15
ALDH3B1,TERF1
ALDH3B1,TEX52
ALDH3B1,THSD7B
ALDH3B1,TMEM132C
ALDH3B1,TRIM66
ALDH3B1,TTC6
ALDH3B1,UMAD1
ALDH3B1,VPS11
ALDH3B1,WDR64
ALDH3B1,ZCCHC8
ALDH3B1,ZNF518A
ALDH3B1,ZNF678
ALDH3B1,ZNF738
ALDH3B1,ZNF888
ALDH3B1,ZSCAN12
ALDH3B1,ZSCAN26
ALG12,ALG3
ALG12,ALG9
ALG3,ALG9
ALG3,DPM1
ALG6,ALG8
ALG9,DPM1
ALG9,DPM2
ALG9,DPM3
ALG9,MPDU1
AMOTL2,KIRREL1
AMOTL2,LATS2
AMOTL2,NF2
ANKRD18B,ANKRD63
ANKRD18B,ASMTL
ANKRD18B,C2orf81
ANKRD18B,C2orf92
ANKRD18B,C3orf49
ANKRD18B,CD24
ANKRD18B,CEBPZOS
ANKRD18B,CFAP54
ANKRD18B,CLASP2
ANKRD18B,COPG2
ANKRD18B,COPZ2
ANKRD18B,CRYBG3
ANKRD18B,CSF2RA
ANKRD18B,CYFIP2
ANKRD18B,DCAF1
ANKRD18B,DCAF13
ANKRD18B,DCAF7
ANKRD18B,DCP1A
ANKRD18B,DNAH17
ANKRD18B,DNAH8
ANKRD18B,DOCK1
ANKRD18B,ERFL
ANKRD18B,EXOC1L
ANKRD18B,FOXD1
ANKRD18B,FOXI3
ANKRD18B,HECTD4
ANKRD18B,HSH2D
ANKRD18B,KLF18
ANKRD18B,KRBA1
ANKRD18B,LY6L
ANKRD18B,MALRD1
ANKRD18B,MAP3K15
ANKRD18B,MYO15B
